GeneSymbol	B cells	T cells	NK cells	Monocytes	Eosinophils	Neutrophils
ACTN1	1	1	2.09314979701844e-06	2.78806164864351e-07	1	4.66585012435371e-67
ACTR10	1	0.373819438322249	1.98392445925423e-08	2.36455005524632e-12	0.1101663629432	2.18197486583259e-40
ACTR2	1	0.913078567570035	0.00290099444823678	7.29499756156592e-18	1	4.92503017038748e-69
ACTR3C	0.000227535356846376	1.49357656934622e-14	6.99108605835924e-06	2.51844706789039e-05	1	7.74072315177174e-38
ACTR5	0.000364320902084551	0.000100513138978382	1	1	1	0.000344852107688447
ACTR6	2.24459272397135e-06	4.29816779442105e-07	0.00250667255494296	2.126663537469e-11	0.926571621136571	6.98609475914506e-09
ACTR8	1	4.17734248856346e-06	1	0.0582949991846268	9.04121494900253e-13	1
ACTRT2	0.032871917829903	9.21477684980018e-15	0.298493753028839	1	1	2.56225260774297e-23
ACVR1	0.0578213493747496	0.00204350773965197	2.39645526428425e-05	4.45622332688612e-22	1	7.2461545316421e-23
ACVR1C	0.0454266398319269	1.53755922774092e-33	3.80025279413368e-08	0.00199757345643946	1	8.29556694931963e-23
ACVR2A	4.4802536322052e-07	0.000202053135706783	1.73182197361011e-06	0.0303819818006952	0.893027088156899	1.62753385338979e-07
ACY1	1	5.28853255435628e-18	5.51954444466755e-08	1.82855225934412e-12	0.173280707879685	1.00895483384573e-10
ACYP1	9.05622190522376e-11	2.5909633123176e-21	0.0124345762311638	7.64877010742462e-08	0.846041277524699	0.347487209318589
ADA	0.728417704627207	4.32893477713523e-20	0.00951470014218159	0.4516880752542	1	0.0718290666688853
ADAD1	0.753912956742878	0.391256049258892	1	1	1	0.437714269339594
ADAL	0.989022339940365	1	1	0.673118117059624	1	1
ADAM1	0.150882871444648	5.73502449947968e-18	0.000645209435647873	1.04816780657292e-08	1	3.9594788202411e-10
ADAM10	0.0600701918201192	1	0.0691419676766756	0.00290053623393435	1	8.50851232285072e-77
ADAM11	0.864468488674828	0.000967507564103131	1	0.0192594344046183	1	0.0320598733158218
ADAM12	1	3.49277251578077e-08	1	0.628846689972506	0.047857054861171	1
ADAM17	1.5331754764156e-06	0.0888976447144807	1	1	1	2.24084190331973e-13
ADAM18	0.0208199096685976	9.00400557315297e-20	0.228649909126431	8.04681390773901e-07	0.0316760566812562	6.76098724152357e-36
ADAM20	1	3.53247783711015e-07	1	0.0139084059892002	0.000125411718074252	1
ADAM23	0.969890038315447	0.975370782177885	1	1	1	0.624037305676263
ADAM29	0.00122726044410534	0.00389425634341532	0.207723277804179	1	1	9.14914036803382e-06
ADAM30	0.0918764783627123	0.000752510104384935	1	0.00952337119750083	0.21486182117567	1
ADAM32	0.132204344244672	0.235065303650651	0.951330652759744	1	1	0.013393964701876
ADAM33	2.7313067452642e-08	0.000138944365346941	1	1	1	2.49072915015592e-09
ADAM3A	1	1.35945416689198e-08	0.409870476537103	1.34646719592917e-05	0.439128153517341	0.377796606071099
