GeneSymbol	B_cells	T_cells	NK_cells 	Monocytes	Eosinophils	Neutrophils
AC005592.3	0.461298568696473	0.481734084899299	0.00399781991293659	0.0088109508640227	0.00126842747220863	1.97166028186449e-16
AC005606.14	0.601324652951817	0.00194730089655088	0.120420834289014	1	0.861946346456717	5.25406421825964e-11
AC005785.2	0.00618439459891895	0.148653719907539	0.000687751574790186	7.41745569611703e-06	1	6.34897936099353e-22
AC005838.2	1	0.0019566296767948	0.114651321619093	1	1	1.20202704359144e-07
AC006026.13	0.127803158984167	3.1524804973798e-07	0.00091701341464661	0.0934918425140282	0.760366345647889	0.000131990589308588
AC006129.2	0.112740896337522	1.92784135694851e-31	1	1	1	1
AC006538.1	0.150126671135751	0.892484465404405	0.00472749324315477	0.758683208462105	0.587118294489621	1.7267909483728e-18
AC007292.3	0.384018436126179	0.134506276945313	9.86300756826195e-07	1.04139774334476e-12	1	3.00139052170229e-14
AC007349.5	0.726335852849894	0.0368854275981754	0.0486734201469188	0.263739379554158	0.621622156715423	7.49651233347116e-07
AC007362.3	0.364410986826434	0.982357265919883	0.0151178491585718	0.00176528792873928	0.266860326498642	8.91062147179328e-13
AC007365.3	1	1	5.6181585911652e-05	2.48477447404285e-14	1	3.56228292756172e-27
AC007389.3	0.24151477956574	0.899869071499017	0.00103339729595048	3.57696334153392e-07	0.39430084309632	7.84131787090139e-11
AC007401.2	1	2.62741740564941e-13	0.903431383081186	0.00139027962887615	0.421036215095775	2.40516553095356e-44
AC007680.2	1	1	1	0.419283885906195	1	1.06996358694097e-21
AC007787.2	0.215325681322346	0.199039585230742	0.110754373916141	2.35731486218666e-05	0.0176199628844102	6.50464310405711e-12
AC008088.4	0.0538287253418179	0.531376777749344	2.33858150363529e-05	7.02667388795805e-08	0.295977002533244	1.7352043465157e-14
AC008746.12	0.00379033370248632	3.45605755596733e-05	0.00944998477080121	3.94503252537549e-07	1	0.000145286568227323
AC008753.4	1	1	0.000867752292001692	0.000457915060029341	1	1.56097647149238e-21
AC009120.6	1	1.81512334857127e-32	0.00210479806798031	0.000181910708225783	1	1.19909613814547e-26
AC009133.15	0.0335535452517104	0.00742794035285974	0.00697725864448228	3.60471892562407e-06	0.14735261770939	2.56763572389325e-18
AC009502.4	0.0394370844350028	1	0.149337250967946	0.00377972286859154	0.00211313128382803	1.47645102770348e-60
AC010145.4	1	1	0.133721760762093	1	0.342190779610358	8.65380149158829e-10
AC010524.4	0.0166985060218476	0.862373381994968	3.39491766460071e-05	2.98771911437796e-09	1	3.4975672875108e-24
AC012065.7	0.042887397590438	5.85502293134165e-11	0.00670749167496465	0.975390146539196	1	8.78642849097112e-10
AC012360.6	1	0.0180013744384933	0.0257281119667075	0.664336888770369	0.0240680432619326	3.59929129219846e-21
AC012499.1	1	1	1.14911103416145e-05	0.486739702327226	0.581841350975962	3.10436157382457e-10
AC012531.25	1	1	0.17158140867333	0.726820919611236	0.875177206701327	1.66733330537169e-22
AC013463.2	0.632437652408945	0.0412371936677803	0.0787106142892268	0.737676455394842	1	7.58375220682138e-18
AC013733.4	0.559471475221898	1	0.388922952029785	0.102910250383904	1	3.36997634630944e-07
AC016831.7	0.486971966381868	1	0.77227966924743	0.0152123514281227	1	5.98562986347238e-20
AC016999.2	0.278750116030407	1	3.35300795397136e-05	1.47207882576978e-06	0.92975759976961	1.9129549115872e-10
AC017002.2	0.180391044135558	0.0962296198861447	1	0.00236544661042219	1	4.7395772076499e-35
AC017104.6	0.000838372478946068	1	0.0206367511292918	0.00594712328709352	1	0.0217219616103172
AC018755.16	0.0031766080993965	1	6.7238669272736e-05	2.09691334439496e-28	1	0.00183935742273966
AC018755.17	1	0.67734188402678	0.488425616654974	1	0.575189280032128	1.7349653157252e-08
AC018766.6	1	1	0.296267827669522	1	0.0434916334419688	1.56600590448053e-16
AC018816.3	0.152481380930395	8.34121818328358e-08	0.287453704424028	0.000320520388391655	0.657963582875205	1.83842130284944e-15
AC024560.2	0.425279099947559	1	0.0329030535391418	0.00824427197142495	0.0785437256667951	5.13307035541641e-11
AC025442.3	0.587196804964352	0.0129514109598305	0.0124892214127915	4.34425031293357e-06	1	1.13428070199645e-06
AC064852.4	1	1	0.0240873650682147	0.518661642129877	1	1.07886156848182e-15
AC067956.1	1	0.0319706583029175	0.79076416882557	1	0.485890078073592	5.11260790339109e-11
AC068039.4	0.00809793724651907	1.10647642667621e-14	0.426214301070587	0.720513375570217	0.052513155641264	5.48686046485734e-15
AC068138.1	0.64546079466434	1	8.08799989458122e-06	1.98852425650252e-07	0.384616637530256	7.42716733203247e-42
AC068831.3	0.525518600389634	0.255402545052745	0.0811509801922802	0.0298074707043588	1	1.16350892745412e-10
AC073283.7	0.000270665656818783	8.16366380090289e-13	1	6.16840416612812e-14	1	4.95580594262394e-06
AC073321.4	0.21572716406538	7.83266801729516e-07	0.456100362781791	0.0010640577392766	0.805503204219252	3.42834811238481e-27
AC074212.6	0.0115191963477224	1	0.0808990307320535	0.000477664802262278	0.776260574192577	3.61851351713954e-13
AC079305.10	0.178186369613152	0.279794740423027	0.00130741362114841	0.0228763546155043	0.000596035293596732	1.04792094136889e-18
AC079741.2	0.159327180872999	0.403601834564811	2.27959707224918e-05	1	0.6474911774064	2.10206785712903e-27
