GeneSymbol	B_cells	T_cells	NK_cells 	Monocytes	Eosinophils	Neutrophils
ABHD2	1	0.805248629328669	0.00035791178744598	3.23671662216324e-12	0.0037086184608865	5.45176068888762e-51
ABHD3	0.0275501807655498	1.7133187380816e-07	0.789178780181932	0.107027586030953	1	5.21335515339875e-105
ABHD4	6.80993322634878e-07	1	1.21150534353134e-05	6.06144486579381e-25	1	5.69724297766197e-67
ABHD5	1	1	1	0.00276646746982588	0.952283068856515	2.11070014376731e-88
ABHD6	0.860657661152931	1.11910623942772e-20	1.1956534048653e-09	3.62670414354366e-17	0.698037538186405	0.00010488575971712
ABHD8	1	1	0.218855647440286	3.90549049483918e-34	1	1
ABI1	0.158892566124719	2.10466663925965e-09	1	0.464894887135522	8.99679655516577e-10	7.46905181943584e-126
ABI2	0.0710185601843507	2.39518556617269e-38	0.000839468093246169	0.111714345295256	0.304546183655546	0.0376138116729127
ABI3	0.730170484826842	0.000111466587124642	8.82512446200933e-15	5.85022244543139e-22	1	1
ABI3BP	9.0629250515927e-07	1	1	6.66599241687163e-36	1	1
ABL1	1.56235183326778e-06	7.17661013766413e-05	1.88975869960121e-10	2.22047196684308e-61	1	0.00048283061836366
ABL2	0.0107054270059378	0.528617629533857	0.128453035797323	1.81792984433277e-36	1	1.0241380524507e-47
ABLIM1	1.44248662520007e-05	1.75525772338452e-35	1	0.110791116282004	1	1
ABLIM2	0.00177775291389804	1	0.000112738050913977	0.00897223431996962	0.391928288012289	4.30546126672507e-27
ABLIM3	0.000291947453097224	1	0.0695905038914349	0.00516478137023416	0.412198162978201	5.32466764139207e-05
ABO	0.00976603380287949	1	0.224923314962778	7.82227501333143e-06	0.0627787576401197	6.65479228713851e-12
ABR	0.0154264983739316	0.00266787558315665	5.438245626354e-10	8.13332520105316e-67	0.722160224159905	4.56587265017648e-37
ABRA	0.0549525473804829	0.507432277658714	0.0711639322963378	0.832587397734751	1	1.21274343586705e-22
ABRACL	5.16280302406948e-06	2.46556647953734e-17	0.00789217825993141	1.38305559992465e-13	1.01245406486641e-09	4.80885556414765e-26
